               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10016,            0.031178,                   0,             0.12627,            0.069767,            0.076063,            0.023989,            0.063176,            0.015454,                   0,              0.0766,              0.0026,              0.0026
                   1,            0.067872,            0.023646,                   0,             0.61837,             0.46512,             0.59132,             0.28055,            0.049857,            0.010496,                   0,            0.052248,           0.0052475,           0.0052475
                   2,            0.056647,            0.021274,                   0,             0.50946,              0.6763,              0.6333,             0.22026,             0.04758,           0.0084209,                   0,            0.027842,           0.0078416,           0.0078416
                   3,            0.054023,             0.01956,                   0,             0.80586,             0.67576,             0.89702,             0.35273,             0.05313,           0.0078481,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.048907,            0.017383,                   0,             0.55387,             0.74419,             0.69058,              0.2411,            0.039928,           0.0075847,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.043719,            0.015261,                   0,             0.86983,             0.74419,             0.85982,             0.37627,            0.035481,           0.0062232,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.038195,            0.013285,                   0,             0.67679,             0.83721,             0.84429,             0.46173,            0.027801,           0.0061147,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.035189,            0.011788,                   0,             0.93299,             0.74419,             0.92376,             0.54995,            0.027653,           0.0053087,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.033409,            0.012546,                   0,             0.98557,             0.88372,             0.96544,             0.59073,            0.027023,           0.0044432,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.032089,            0.011079,                   0,             0.95591,             0.93023,             0.96237,             0.48417,            0.026232,           0.0040566,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.030603,            0.010234,                   0,              0.9114,             0.97674,             0.93757,             0.60937,            0.028172,           0.0041652,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.030149,           0.0099538,                   0,              0.9925,             0.93023,             0.96511,             0.61094,            0.023422,           0.0036035,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.029122,           0.0095349,                   0,                   1,             0.95035,             0.97482,             0.64026,            0.024915,           0.0037432,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.027483,           0.0098742,                   0,             0.93254,             0.96463,             0.97231,             0.73402,            0.020065,           0.0036837,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.027371,           0.0081482,                   0,             0.96896,             0.95349,             0.97334,             0.71746,             0.02477,            0.003301,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.026104,           0.0086645,                   0,             0.97234,             0.97674,             0.97525,             0.66507,             0.01778,           0.0033307,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.025487,           0.0079798,                   0,             0.99606,             0.97674,             0.97559,             0.74096,            0.021427,            0.003332,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.025638,           0.0082166,                   0,             0.97313,             0.97674,             0.97664,             0.71073,            0.020298,           0.0030831,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.023885,           0.0078413,                   0,             0.97413,             0.97674,             0.97464,             0.76831,            0.017207,           0.0028638,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.023252,           0.0080021,                   0,             0.99271,             0.95349,             0.97456,             0.75663,            0.017493,           0.0027879,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.022927,           0.0082903,                   0,             0.97607,             0.97674,             0.97391,             0.78915,            0.020543,           0.0026975,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.021804,           0.0073982,                   0,             0.97521,             0.97674,             0.97558,             0.73635,            0.019125,           0.0031277,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.021626,           0.0074994,                   0,                   1,             0.97499,             0.97596,             0.75714,            0.017874,            0.003046,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.021738,           0.0076124,                   0,             0.99736,             0.97674,             0.97586,             0.81036,            0.015817,           0.0031492,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.022233,           0.0073229,                   0,             0.97714,             0.93023,             0.97204,              0.7988,            0.016513,           0.0031352,                   0,            0.007723,            0.007723,            0.007723
                  25,              0.0216,            0.007097,                   0,             0.99603,             0.95349,             0.97524,             0.79292,            0.016837,           0.0028151,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.020654,           0.0069537,                   0,                   1,             0.97452,             0.97569,             0.86748,            0.016878,           0.0026674,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.019631,           0.0065862,                   0,             0.99246,             0.95349,             0.97576,             0.82116,            0.013979,           0.0030004,                   0,            0.007426,            0.007426,            0.007426
